track_name,lyrics,artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
22,it feels like a perfect night to dress up like hipsters and make fun of our exes uh uh uh uh it feels like a perfect night for breakfast at midnight to fall in love with strangers uh uh uh uh yeah we re happy free confused and lonely at the same time it s miserable and magical oh yeah tonight s the night when we forget about the deadlines it s time oh oh i don t know about you but i m feeling twenty two everything will be alright if you keep me next to you you don t know about me but i ll bet you want to everything will be alright if we just keep dancing like we re twenty two twenty two it seems like one of those nights this place is too crowded too many cool kids uh uh uh uh who s taylor swift anyway ew it seems like one of those nights we ditch the whole scene and end up dreamin instead of sleeping yeah we re happy free confused and lonely in the best way it s miserable and magical oh yeah tonight s the night when we forget about the heartbreaks it s time oh oh hey i don t know about you but i m feeling twenty two everything will be alright if ooh you keep me next to you you don t know about me but i ll bet you want to everything will be alright if alright we just keep dancing like we re twenty two oh oh oh oh oh twenty two i don t know about you twenty two twenty two ooh it feels like one of those nights we ditch the whole scene it feels like one of those nights we won t be sleepin it feels like one of those nights you look like bad news i gotta have you i gotta have you you woah ooh yeah eh yeah hey i don t know about you i don t know about you but i m feeling twenty two everything will be alright if ooh you keep me next to you you don t know about me you don t know about me but i ll bet you want to everything will be alright if we just keep dancing like we re dancing like we re twenty two twenty two woah oh twenty two dancing like twenty two yeah yeah twenty two yeah yeah yeah it feels like one of those nights twenty two we ditch the whole scene it feels like one of those nights twenty two we won t be sleeping it feels like one of those nights twenty two you look like bad news i gotta have you i gotta have you,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1KlU96Hw9nlvqpBPlSqcTV,album,,2012-10-22,2012,day,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/audio-analysis/3bIxTsfeNMO7Nt2J3EUKrA,4,,,1,230133,FALSE,https://api.spotify.com/v1/tracks/3bIxTsfeNMO7Nt2J3EUKrA,FALSE,NA,6,track,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,https://open.spotify.com/track/3bIxTsfeNMO7Nt2J3EUKrA,Red (Deluxe Edition),G,major,G major
Afterglow,i blew things out of proportion now you re blue put you in jail for something you didn t do i pinned your hands behind your back oh thought i had reason to attack but no fighting with a true love is boxing with no gloves chemistry til it blows up til there s no us why d i have to break what i love so much it s on your face and i m to blame i need to say hey it s all me in my head i m the one who burned us down but it s not what i meant sorry that i hurt you i don t wanna do i don t wanna do this to you ooh i don t wanna lose i don t wanna lose this with you ooh i need to say hey it s all me just don t go meet me in the afterglow it s so excruciating to see you low just wanna lift you up and not let you go this ultraviolet morning light below tells me this love is worth the fight oh i lived like an island punished you with silence went off like sirens just crying why d i have to break what i love so much it s on your face don t walk away i need to say hey it s all me in my head i m the one who burned us down but it s not what i meant i m sorry that i hurt you i don t wanna do i don t wanna do this to you ooh i don t wanna lose i don t wanna lose this with you ooh i need to say hey it s all me just don t go meet me in the afterglow tell me that you re still mine tell me that we ll be just fine even when i lose my mind i need to say tell me that it s not my fault tell me that i m all you want even when i break your heart i need to say hey it s all me in my head i m the one who burned us down but it s not what i meant sorry that i hurt you i don t wanna do i don t wanna do this to you ooh i don t wanna lose i don t wanna lose this with you ooh i need to say hey it s all me just don t go meet me in the afterglow,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1NAmidJlEaVgA3MpcPFYGq,album,,2019-08-23,2019,day,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,1SymEzIT3H8UZfibCs3TYi,https://api.spotify.com/v1/audio-analysis/1SymEzIT3H8UZfibCs3TYi,4,,,1,223293,FALSE,https://api.spotify.com/v1/tracks/1SymEzIT3H8UZfibCs3TYi,FALSE,NA,15,track,spotify:track:1SymEzIT3H8UZfibCs3TYi,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,Lover,A,major,A major
All Too Well,i walked through the door with you the air was cold but something bout it felt like home somehow and i left my scarf there at your sister s house and you ve still got it in your drawer even now oh your sweet disposition and my wide eyed gaze we re singing in the car getting lost upstate autumn leaves falling down like pieces into place and i can picture it after all these days and i know it s long gone and that magic s not here no more and i might be okay but i m not fine at all oh oh oh cause there we are again on that little town street you almost ran the red cause you were lookin over at me wind in my hair i was there i remember it all too well photo album on the counter your cheeks were turning red you used to be a little kid with glasses in a twin sized bed and your mother s telling stories bout you on the tee ball team you taught me bout your past thinking your future was me and i know it s long gone and there was nothing else i could do and i forget about you long enough to forget why i needed to cause there we are again in the middle of the night we re dancing round the kitchen in the refrigerator light down the stairs i was there i remember it all too well yeah well maybe we got lost in translation maybe i asked for too much but maybe this thing was a masterpiece til you tore it all up running scared i was there i remember it all too well and you call me up again just to break me like a promise so casually cruel in the name of being honest i m a crumpled up piece of paper lying here cause i remember it all all all too well time won t fly it s like i m paralyzed by it i d like to be my old self again but i m still trying to find it after plaid shirt days and nights when you made me your own now you mail back my things and i walk home alone but you keep my old scarf from that very first week cause it reminds you of innocence and it smells like me you can t get rid of it cause you remember it all too well yeah cause there we are again when i loved you so back before you lost the one real thing you ve ever known it was rare i was there i remember it all too well wind in my hair you were there you remember it all down the stairs you were there you remember it all it was rare i was there i remember it all too well,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1KlU96Hw9nlvqpBPlSqcTV,album,,2012-10-22,2012,day,0.602,0.609,0,-7.803,1,0.0243,0.0382,2e-4,0.127,0.337,93.06,1q3RiD1tIWUpGsNFADMlvl,https://api.spotify.com/v1/audio-analysis/1q3RiD1tIWUpGsNFADMlvl,4,,,1,327893,FALSE,https://api.spotify.com/v1/tracks/1q3RiD1tIWUpGsNFADMlvl,FALSE,NA,5,track,spotify:track:1q3RiD1tIWUpGsNFADMlvl,https://open.spotify.com/track/1q3RiD1tIWUpGsNFADMlvl,Red (Deluxe Edition),C,major,C major
Anti-Hero,i have this thing where i get older but just never wiser midnights become my afternoons when my depression works the graveyard shift all of the people i ve ghosted stand there in the room i should not be left to my own devices they come with prices and vices i end up in crisis tale as old as time i wake up screaming from dreaming one day i ll watch as you re leaving cause you got tired of my scheming for the last time it s me hi i m the problem it s me at teatime everybody agrees i ll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti hero sometimes i feel like everybody is a sexy baby and i m a monster on the hill too big to hang out slowly lurching toward your favorite city pierced through the heart but never killed did you hear my covert narcissism i disguise as altruism like some kind of congressman a tale as old as time i wake up screaming from dreaming one day i ll watch as you re leaving and life will lose all its meaning for the last time it s me hi i m the problem it s me i m the problem it s me at teatime everybody agrees i ll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti hero i have this dream my daughter in law kills me for the money she thinks i left them in the will the family gathers round and reads it and then someone screams out she s laughing up at us from hell it s me hi i m the problem it s me it s me hi i m the problem it s me it s me hi everybody agrees everybody agrees it s me hi hi i m the problem it s me i m the problem it s me at teatime teatime everybody agrees everybody agrees i ll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti hero,Taylor Swift,06HL4z0CvFAxyc27GXpf02,3lS1y25WAhcqJDATJK70Mq,album,,2022-10-22,2022,day,0.638,0.634,4,-6.582,1,0.0457,0.133,1.23e-6,0.152,0.519,96.953,02Zkkf2zMkwRGQjZ7T4p8f,https://api.spotify.com/v1/audio-analysis/02Zkkf2zMkwRGQjZ7T4p8f,4,,,1,200690,FALSE,https://api.spotify.com/v1/tracks/02Zkkf2zMkwRGQjZ7T4p8f,FALSE,NA,3,track,spotify:track:02Zkkf2zMkwRGQjZ7T4p8f,https://open.spotify.com/track/02Zkkf2zMkwRGQjZ7T4p8f,Midnights (3am Edition),E,major,E major
A Perfectly Good Heart,why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart maybe i should ve seen the signs should ve read the writing on the wall and realized by the distance in your eyes that i would be the one to fall no matter what you say i still can t believe that you would walk away it don t make sense to me but why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart it s not unbroken anymore it s not unbroken anymore how do i get it back the way it was before why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break why would you wanna break it why would you wanna break a perfectly good heart why would you wanna take our love and tear it all apart now why would you wanna make the very first scar why would you wanna break a perfectly good heart mmm hmm,Taylor Swift,06HL4z0CvFAxyc27GXpf02,5eyZZoQEFQWRHkV2xgAeBw,album,,2006-10-24,2006,day,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,0YgHuReCSPwTXYny7isLja,https://api.spotify.com/v1/audio-analysis/0YgHuReCSPwTXYny7isLja,4,,,1,220146,FALSE,https://api.spotify.com/v1/tracks/0YgHuReCSPwTXYny7isLja,FALSE,NA,14,track,spotify:track:0YgHuReCSPwTXYny7isLja,https://open.spotify.com/track/0YgHuReCSPwTXYny7isLja,Taylor Swift,E,major,E major
Bad Blood, cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey did you have to do this i was thinking that you could be trusted did you have to ruin what was shiny now it s all rusted did you have to hit me where i m weak baby i couldn t breathe and rub it in so deep salt in the wound like you re laughing right at me oh it s so sad to think about the good times you and i cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey did you think we d be fine still got scars on my back from your knives so don t think it s in the past these kinds of wounds they last and they last now did you think it all through all these things will catch up to you and time can heal but this won t so if you re coming my way just don t oh it s so sad to think about the good times you and i cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey band aids don t fix bullet holes you say sorry just for show if you live like that you live with ghosts band aids don t fix bullet holes you say sorry just for show if you live like that you live with ghosts if you love like that blood runs cold cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em think we can solve em you made a really deep cut and baby now we ve got bad blood hey cause baby now we ve got bad blood you know it used to be mad love so take a look what you ve done look what you ve done cause baby now we ve got bad blood hey now we ve got problems and i don t think we can solve em you made a really deep cut and baby now we ve got bad blood hey ,Taylor Swift,06HL4z0CvFAxyc27GXpf02,34OkZVpuzBa9y40DCy0LPR,album,,2014-10-27,2014,day,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16e-6,0.201,0.287,170.216,0yN4fNzmVnmgC0dsOoi9Wh,https://api.spotify.com/v1/audio-analysis/0yN4fNzmVnmgC0dsOoi9Wh,4,,,1,211933,FALSE,https://api.spotify.com/v1/tracks/0yN4fNzmVnmgC0dsOoi9Wh,FALSE,NA,8,track,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh,https://open.spotify.com/track/0yN4fNzmVnmgC0dsOoi9Wh,1989 (Deluxe Edition),G,major,G major
Begin Again,took a deep breath in the mirror he didn t like it when i wore high heels but i do turn the lock and put my headphones on he always said he didn t get this song but i do i do i walked in expecting you d be late but you got here early and you stand and wave i walk to you you pull my chair out and help me in and you don t know how nice that is but i do and you throw your head back laughin like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again you said you never met one girl who had as many james taylor records as you but i do we tell stories and you don t know why i m comin off a little shy but i do but you throw your head back laughin like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again and we walked down the block to my car and i almost brought him up but you start to talk about the movies that your family watches every single christmas and i wanna talk about that and for the first time what s past is past cause you throw your head back laughin like a little kid i think it s strange that you think i m funny cause he never did i ve been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again hmm hmm but on a wednesday in a café i watched it begin again,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1KlU96Hw9nlvqpBPlSqcTV,album,,2012-10-22,2012,day,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-6,0.232,0.323,79.025,48A0aShHlovDfTMucMrE66,https://api.spotify.com/v1/audio-analysis/48A0aShHlovDfTMucMrE66,4,,,1,237613,FALSE,https://api.spotify.com/v1/tracks/48A0aShHlovDfTMucMrE66,FALSE,NA,16,track,spotify:track:48A0aShHlovDfTMucMrE66,https://open.spotify.com/track/48A0aShHlovDfTMucMrE66,Red (Deluxe Edition),G,major,G major
Bejeweled,baby love i think i ve been a little too kind didn t notice you walkin all over my peace of mind in the shoes i gave you as a present puttin someone first only works when you re in their top five and by the way i m goin out tonight best believe i m still bejeweled when i walk in the room i can still make the whole place shimmer and when i meet the band they ask do you have a man i could still say i don t remember familiarity breeds contempt don t put mе in the basement whеn i want the penthouse of your heart diamonds in my eyes i polish up real i polish up real nice nice baby boy i think i ve been too good of a girl too good of a girl did all the extra credit then got graded on a curve i think it s time to teach some lessons i made you my world huh have you heard huh i can reclaim the land and i miss you miss you but i miss sparklin nice best believe i m still bejeweled when i walk in the room i can still make the whole place shimmer and when i meet the band they ask do you have a man i could still say i don t remember familiarity breeds contempt don t put me in the basement when i want the penthouse of your heart diamonds in my eyes i polish up real i polish up real nice nice sapphire tears on my face sadness became my whole sky but some guy said my aura s moonstone just cause he was high and we re dancin all night and you can try to change my mind but you might have to wait in line what s a girl gonna do a diamond s gotta shine best believe i m still bejeweled when i walk in the room i can still make the whole place shimmer shimmer and when i meet the band they ask do you have a man i could still say i don t remember familiarity breeds contempt don t put me in the basement when i want the penthouse of your heart diamonds in my eyes i polish up real nice i polish up real nice and we re dancin all night and you can try to change my mind but you might have to wait in line what s a girl gonna do what s a girl gonna do i polish up nice best believe i m still bejeweled when i walk in the room i can still make the whole place shimmer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,3lS1y25WAhcqJDATJK70Mq,album,,2022-10-22,2022,day,0.7,0.55,7,-9.13,1,0.0653,0.0661,1.02e-4,0.091,0.412,164.003,0jvo9CjnbR0lYUDTSNTMiu,https://api.spotify.com/v1/audio-analysis/0jvo9CjnbR0lYUDTSNTMiu,4,,,1,194165,FALSE,https://api.spotify.com/v1/tracks/0jvo9CjnbR0lYUDTSNTMiu,FALSE,NA,9,track,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,https://open.spotify.com/track/0jvo9CjnbR0lYUDTSNTMiu,Midnights (3am Edition),G,major,G major
Better Than Revenge,now go stand in the corner and think about what you did ha time for a little revenge the story starts when it was hot and it was summer and i had it all i had him right there where i wanted him she came along got him alone and let s hear the applause she took him faster than you can say sabotage i never saw it coming wouldn t have suspected it i underestimated just who i was dealing with she had to know the pain was beating on me like a drum she underestimated just who she was stealing from she s not a saint and she s not what you think she s an actress woah she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha she looks at life like it s a party and she s on the list she looks at me like i m a trend and she s so over it i think her ever present frown is a little troubling and she thinks i m psycho cause i like to rhyme her name with things but sophistication isn t what you wear or who you know or pushing people down to get you where you wanna go oh they didn t teach you that in prep school so it s up to me but no amount of vintage dresses gives you dignity think about what you did she s not a saint and she s not what you think she s an actress woah she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge ha i m just another thing for you to roll your eyes at honey you might have him but haven t you heard i m just another thing for you to roll your eyes at honey you might have him but i always get the last word woah woah ah oh she s not a saint and she s not what you think she s an actress woah she deserved it she s better known for the things that she does on the mattress woah soon she s gonna find stealing other people s toys on the playground won t make you many friends she should keep in mind she should keep in mind there is nothing i do better than revenge do you still feel like you know what you re doing cause i don t think you do oh no no no no do you still feel like you know what you re doing no i don t think you do i don t think you do let s hear the applause come on come on come on show me how much better you are so much better yeah see you deserve some applause cause you re so much better she took him faster than you could say sabotage ,Taylor Swift,06HL4z0CvFAxyc27GXpf02,5EpMjweRD573ASl7uNiHym,album,,2010-10-25,2010,day,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-6,0.36,0.635,145.821,1By2VQkUN0Frd8mKNV5NYC,https://api.spotify.com/v1/audio-analysis/1By2VQkUN0Frd8mKNV5NYC,4,,,1,217160,FALSE,https://api.spotify.com/v1/tracks/1By2VQkUN0Frd8mKNV5NYC,FALSE,NA,10,track,spotify:track:1By2VQkUN0Frd8mKNV5NYC,https://open.spotify.com/track/1By2VQkUN0Frd8mKNV5NYC,Speak Now (Deluxe Edition),B,minor,B minor
Bigger Than The Whole Sky,no words appear before me in the aftermath salt streams out my eyes and into my ears every single thing i touch becomes sick with sadness cause it s all over now all out to sea goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you what could ve been would ve been you did some bird flap its wings ovеr in asia did some force take you bеcause i didn t pray every single thing to come has turned into ashes cause it s all over it s not meant to be so i ll say words i don t believe goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you what could ve been would ve been you what could ve been would ve been what should ve been you what could ve been would ve been you what could ve been would ve been you goodbye goodbye goodbye you were bigger than the whole sky you were more than just a short time and i ve got a lot to pine about i ve got a lot to live without i m never gonna meet what could ve been would ve been what should ve been you,Taylor Swift,06HL4z0CvFAxyc27GXpf02,3lS1y25WAhcqJDATJK70Mq,album,,2022-10-22,2022,day,0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,0BiqmkasE5FdrChwKfVp8X,https://api.spotify.com/v1/audio-analysis/0BiqmkasE5FdrChwKfVp8X,4,,,1,218502,FALSE,https://api.spotify.com/v1/tracks/0BiqmkasE5FdrChwKfVp8X,FALSE,NA,15,track,spotify:track:0BiqmkasE5FdrChwKfVp8X,https://open.spotify.com/track/0BiqmkasE5FdrChwKfVp8X,Midnights (3am Edition),F#,major,F# major
